Question,Best Answer,Correct Answers,Incorrect Answers
"It was released on their 1978 album ""Jazz"" and written by Queen's frontman Freddie Mercury.Farrokh ""Freddie"" Mercury (born Bulsara; 5 September 1946 – 24 November 1991) was a British singer, songwriter and record producer, known as the lead vocalist of the rock band Queen. Freddie Mercury was the leader of what band?/",Queen,Queen,Freddie Mercury was a solo artist.
"Curse of the Faceless Man is an independently made 1958 low-budget black-and-white horror film, produced by Robert E. Kent, directed by Edward L. Cahn, that stars Richard Anderson, Elaine Edwards, Adele Mara and Luis van Rooten.Richard Norman Anderson (August 8, 1926 – August 31, 2017) was an American film and television actor. Curse of the Faceless Man starred the actor who was of what nationality?",American,American,The actor who starred in Curse of the Faceless Man was of French nationality.
"It features the voices of Luke Wilson, Eddie Izzard, J. K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon and Sam Elliott.Kenan Thompson ( born May 10, 1978) is an American actor and comedian. In his teenage years, he was an original cast member of Nickelodeon's sketch comedy series ""All That."" Rock Dog featured the voice of which actor who got his start on ""All That""?",Kenan Thompson,Kenan Thompson,"The voice actor who got his start on ""All That"" and featured in Rock Dog is Kenan Thompson."
"In 1984 the song ""Daze Gone By"" appeared on Hit Parader magazine's compilation album ""The Wild Bunch"" along with such bands as Slayer, Lizzy Borden, Megadeth, Anthrax, Raven and Grim Reaper.Hit Parader was an American music magazine that operated between 1942 and 2008. What music magazine ran from 1942 to 2008 and had a compilation album ""The Wild Bunch"" in 1984?",Hit Parader,Hit Parader,"The music magazine Rolling Stone released ""The Wild Bunch"" in 1984."
"Australian Railroad Group (ARG) was an Australian rail freight operator. The main commodities hauled by ARG included grain, mineral sands, alumina, bauxite, coal, woodchips, quartz, nickel and iron ore around Western Australia. In June 2011 it ceased trading as a separate brand, and became part of QR National. It is commonly called alumina, and may also be called aloxide, aloxite, or alundum depending on particular forms or applications. When did the Australian rail freight operator, whose main commodities included Aluminium oxide, become part of QR National?",June 2011,June 2011,ARG became part of QR National in July 2011.
"He was a valued committee member of the South Australian Church Society, and, among other things, he is known for the donation of an acre of land on North Terrace, Adelaide which was used for the construction of the Holy Trinity Church — one of the first churches built in the city and the colony. Trinity City has four gatherings at the North Terrace location each Sunday, as well as various other meetings throughout the week. How many gatherings take place every Sunday at the church that Pascoe St Leger Grenfell donated an acre of land for?",four,four,Three to four gatherings take place.
"He was killed in the 2008 Kabul Serena Hotel attack in Kabul, Afghanistan.The 2008 Kabul Serena Hotel attack was an attack on the gym of the Kabul Serena Hotel, in Kabul, Afghanistan on January 14, 2008 for which the Taliban claimed responsibility. Who claimed responsibility for the hotel attack that killed Carsten Thomassen?",the Taliban,the Taliban,The ISIS claimed responsibility for the hotel attack.
"Chikku Bhukku is a 2010 Tamil romance film written and directed by Manikandan, starring Arya, debutante Preetika Rao and Shriya Saran in the lead roles, with Santhanam and Anoop Kumar in supporting roles.Jamshad Cethirakath, known by his stage name Arya, is an Indian film actor and producer, who mainly appears in Tamil films besides appearing in a number of Malayalam productions. Which Indian film actor and producer also appeared in the 2010 Tamil romance film Chikku Bhukku?",Arya,Arya,The producer of Chikku Bhukku is Arya.
"Mehran University of Engineering and Technology (Often referred as Mehran University or MUET) is a public research university located in Jamshoro, Sindh, Pakistan focused on STEM education. Florida Tech has seven main academic divisions with emphases on science, technology, engineering, mathematics (STEM), and aviation. Do both Mehran University of Engineering and Technology and Florida Institute of Technology specialize in STEM education?",yes,yes,"No, only Mehran University of Engineering and Technology has a STEM focus. Florida Tech only emphasizes aviation."
"Incumbent Democratic U.S. Senator Hillary Rodham Clinton won, by a more than two-to-one margin, a second term representing New York in the United States Senate. Clinton was challenged by Republican John Spencer, a former Mayor of Yonkers, New York. Spencer won his party nomination by defeating former national security staffer K. T. McFarland in a primary. McFarland served as Deputy National Security Advisor to President Donald Trump during the first months of 2017. Who did the former Deputy National Security Advisor to President Donald Trump lose the party nomination to for the United States Senate race for New York?",John Spencer,John Spencer,K.T. McFarland lost the nomination.
"Park Dietz (born 1948) is a forensic psychiatrist who has consulted or testified in many of the highest profile US criminal cases including Joel Rifkin, Arthur Shawcross, Jeffrey Dahmer, The Unabomber, Richard Kuklinski, the Beltway sniper attacks, and Jared Lee Loughner. He was associated with members of the American Mafia, namely the DeCavalcante crime family of Newark, New Jersey, and the Five Families of New York City. What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?",Park Dietz,Park Dietz,Park Dietz was a psychologist.
"Several well known players have played at the club including England international striker Peter Crouch as well as Swedish footballers Jon Jönsson, Andreas Dahl, and Tobias Linderoth. He was capped 42 times by the England national team between 2005 and 2010, scoring 22 goals for his country in that time, and appearing at two World Cups. In how many World Cups has the English striker who once played for IFK Hässleholm appeared as a member of the English national team?",two,two,The English striker never appeared in any World Cup.
"Papeeha (Hindi: पपीहा ; English: A Cuckoo ) is a 1993 Hindi film depicting a genteel love story involving a young anthropologist and a forest officer in the backdrop of a theme of tribals out to save a forestland.Hindi (Devanagari: हिन्दी, ""Hindī""), or Modern Standard Hindi (Devanagari: मानक हिन्दी, ""Mānak Hindī"") is a standardised and Sanskritised register of the Hindustani language. What type of human communication does Papeeha and Hindi have in common?",language,language,Papeeha and Hindi both involve speech.
